"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"143",0,2,2,0,6,9,1,0,6,2,2,20,0,0,0.875,0.75,0,0,9,1,0.5,"0","0","0"
"144",1,12,2,0,10,37,14,2,8,12,0.831168831,390,0.714285714,1,0.541666667,0.3,0,0,30.91666667,30,3.3333,"0","1","0"
"147",1,7,1,0,7,42,9,3,4,4,0.333333333,558,1,0,0,0.3,0,0,78.57142857,12,3.2857,"0","1","0"
"148",1,16,2,1,17,66,58,3,14,14,0.8,918,1,0,0.464285714,0.333333333,0,0,56,16,2.6875,"1","1","1"
"149",0,2,1,0,6,6,1,2,4,1,2,21,0,0,0,0.5,0,0,9.5,2,1,"0","0","0"
"152",1,9,1,0,10,30,6,7,5,5,0.671875,235,0.125,0,0,0.34375,0,0,24.22222222,3,1.1111,"0","0","0"
"158",1,17,3,0,11,39,52,2,9,17,0.794642857,535,1,3,0.578947368,0.218487395,1,3,30.05882353,21,2.5294,"0","1","1"
"162",1,7,1,0,5,11,13,2,3,7,0.766666667,68,1,2,0,0.4,0,0,8,3,1,"0","0","0"
"165",1,5,1,0,22,45,8,2,20,3,0.25,165,1,0,0,0.3,0,0,31.8,15,3.4,"0","1","0"
"169",0,8,1,18,34,36,22,18,16,0,0.771428571,181,1,0,0,0.346938776,0,0,21,5,1.75,"1","1","1"
"181",1,14,2,2,19,71,47,8,13,11,0.666666667,442,0.666666667,0,0.5,0.255102041,0,0,30.35714286,7,1.5,"1","1","1"
"186",0,52,1,0,78,52,1326,72,10,52,2,52,0,0,0,0.126602564,0,0,0,1,1,"1","1","0"
"187",1,5,3,0,7,18,8,1,6,2,0.75,80,1,1,0.8125,0.5,2,5,14.8,3,1.2,"1","0","0"
"188",1,4,4,0,7,16,4,0,7,3,1,48,1,0,0.964285714,0.555555556,1,6,10.75,1,0.5,"0","0","0"
"191",0,5,1,0,12,31,0,0,12,2,1,132,0.25,0,0,0.5,0,0,24.6,1,0.6,"0","0","0"
"195",0,6,1,0,5,17,5,2,3,3,0.7,76,0.75,1,0,0.3,0,0,11,2,0.8333,"0","0","0"
"200",0,4,2,0,4,13,4,1,4,1,0.666666667,51,1,1,0.818181818,0.444444444,1,1,11.5,3,1,"0","0","0"
"201",1,4,2,0,11,23,4,1,11,1,0.666666667,117,1,1,0.818181818,0.444444444,1,2,28,6,1.75,"1","0","0"
"202",0,5,2,0,10,35,6,0,10,3,1.027777778,435,1,0,0.5,0.5,0,0,84.2,30,7.4,"0","0","0"
"207",0,23,2,0,22,74,175,4,18,19,0.881818182,461,1,3,0.192307692,0.25974026,1,1,18.60869565,23,2.5217,"1","1","1"
"208",0,4,1,0,13,22,2,1,12,2,0.583333333,126,1,0,0,0.333333333,0,0,29.5,6,1.75,"0","0","0"
"212",0,4,3,0,5,9,4,0,5,3,0.666666667,30,1,0,0.666666667,0.666666667,0,0,6.25,1,0.5,"0","0","0"
"215",0,1,1,0,0,2,0,0,0,1,2,10,0,0,0,1,0,0,3,0,0,"0","0","0"
"216",1,4,2,0,9,27,4,0,9,3,0.666666667,150,1,0,0.6,0.666666667,0,0,36.25,11,3,"0","0","0"
"220",1,2,2,0,11,16,1,5,6,2,2,50,0,0,0.928571429,0.75,0,0,24,5,2.5,"0","0","0"
"222",1,2,3,0,10,23,1,2,8,2,2,114,0,0,0.956521739,0.75,1,2,56,11,5.5,"0","1","0"
"235",0,3,1,0,12,29,1,1,11,2,0.5,143,1,0,0,0.5,0,0,46.33333333,12,4,"0","0","0"
"236",1,8,1,0,7,18,8,3,4,7,0.714285714,79,1,1,0,0.314285714,0,0,8.5,3,1.125,"0","0","0"
"238",1,61,1,0,46,136,378,25,21,61,0.881666667,776,1,2,0,0.111241218,0,0,11.55737705,11,1.541,"1","1","1"
"239",0,1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"242",0,15,2,0,15,42,27,6,9,12,0.726190476,326,0.833333333,1,0.277777778,0.4,1,1,20.33333333,7,2.4667,"0","0","0"
"244",0,5,1,0,7,26,0,5,3,5,0.25,288,1,0,0,0.6,0,0,56.2,9,4.2,"0","0","0"
"245",1,2,1,0,14,6,1,11,3,1,1.977777778,106,0,0,0,1,0,0,7,0,0,"0","0","0"
"246",0,4,1,0,78,4,6,78,1,4,2,4,0,0,0,0.5,0,0,0,1,1,"1","1","1"
"253",0,3,2,0,10,21,3,0,10,3,2,107,0,0,0.75,0.555555556,0,0,34.66666667,11,4,"0","0","0"
"254",1,15,1,0,23,75,49,10,13,10,0.285714286,940,1,0,0,0.154761905,0,0,61.6,12,3.4667,"1","1","1"
"255",0,4,2,0,4,10,4,1,4,1,0.666666667,43,1,1,0.818181818,0.444444444,1,1,9.5,2,0.75,"0","0","0"
