"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"87",0,4,1,0,4,5,6,3,1,2,1,17,0,1,0,0.666666667,0,0,3,1,0.5,"0","0","0"
"92",0,2,1,0,15,34,0,1,14,2,0,326,1,2,0,0.6,0,0,161,13,6.5,"0","0","0"
"93",1,5,2,0,10,44,0,3,7,5,0.5,305,1,2,0.833333333,0.6,1,1,59.4,1,0.8,"0","0","0"
"96",1,8,1,0,3,35,20,2,1,4,0.80952381,303,1,0,0,0.357142857,0,0,36.5,4,1.25,"0","0","0"
"97",0,8,1,0,2,13,14,2,0,6,0.571428571,69,1,0,0,0.625,0,0,7.375,3,1.25,"0","0","0"
"103",0,3,6,0,3,7,3,0,0,3,2,17,0,0,0.988950276,1,1,1,4.666666667,1,0.6667,"0","0","0"
"106",0,3,1,0,8,20,1,2,6,3,0,155,1,0,0,0.444444444,0,0,50,4,2,"0","0","0"
"107",0,3,3,0,5,9,0,1,4,3,0.833333333,40,0.666666667,2,0.875,0.5,0,0,11.33333333,1,0.6667,"0","0","0"
"109",0,47,4,0,15,108,865,1,0,45,0.920652174,896,1,0,0.592920354,0.221884498,2,4,17.63829787,3,1.0426,"0","0","0"
"113",0,5,1,4,7,8,8,4,3,4,0.5,34,1,0,0,0.8,0,0,5.6,3,1.2,"0","0","0"
"114",0,2,5,3,6,5,1,3,3,2,2,12,0,0,0.994117647,1,1,1,5,1,0.5,"0","0","0"
"115",0,11,1,0,4,21,13,1,0,11,0.6,68,0.5,0,0,0.340909091,0,0,5,1,0.8182,"0","0","0"
"122",1,5,1,0,2,6,2,1,1,5,0.75,36,1,0,0,0.6,0,0,5.4,1,0.8,"0","0","0"
"123",0,13,1,0,14,49,24,11,4,12,0.65,298,1,0,0,0.346153846,0,0,21.53846154,4,1.8462,"0","0","0"
"125",1,29,2,0,21,104,236,1,20,22,0.767857143,733,1,0,0.695652174,0.143236074,1,4,24.13793103,5,1.7586,"0","0","0"
"134",0,21,1,5,12,46,132,7,5,10,0.5875,281,0.75,1,0,0.173160173,0,0,12.19047619,4,1.381,"0","0","0"
"136",0,21,3,0,12,77,160,2,0,15,0.9125,797,1,0,0.661016949,0.227513228,2,3,36.57142857,3,1.0952,"0","0","0"
"137",0,9,2,0,7,30,0,1,7,9,0,228,1,0,0.5,0.333333333,1,1,24.22222222,3,2.1111,"0","0","0"
"140",1,38,4,4,21,104,613,4,0,29,0.897683398,839,1,1,0.644230769,0.22556391,1,1,20.71052632,18,1.8158,"1","1","0"
"143",0,11,1,0,23,16,31,21,4,8,0.8,77,0.833333333,3,0,0.26,0,0,5.454545455,1,0.8182,"0","0","0"
"146",0,25,1,0,6,26,276,5,1,25,0.958333333,136,1,1,0,0.246666667,0,0,3.96,1,0.96,"0","0","0"
"153",0,12,1,0,35,18,30,32,4,12,0.727272727,99,1,4,0,0.277777778,1,1,6.833333333,2,0.9167,"0","0","0"
"157",0,13,3,0,16,26,46,14,3,12,0.736111111,243,1,1,0.421052632,0.196581197,1,1,17.23076923,6,1.6154,"0","0","0"
"162",0,12,1,0,9,31,54,1,8,10,0.840909091,170,1,0,0,0.5,0,0,12.83333333,3,1.4167,"0","0","0"
"164",0,23,1,0,57,23,253,46,16,23,2,23,0,0,0,0.127717391,0,0,0,1,1,"0","0","0"
"169",0,157,1,0,111,312,11794,51,75,142,0.967013889,2701,0.9375,12,0,0.062278839,0,0,15.89808917,6,1.5159,"0","1","1"
"172",0,6,1,0,11,6,15,10,2,6,2,6,0,0,0,1,0,0,0,1,1,"0","0","0"
"174",0,25,1,0,62,25,300,55,8,25,2,25,0,0,0,0.296,0,0,0,1,1,"0","0","0"
"175",0,8,1,0,11,17,0,9,3,8,0.428571429,54,1,1,0,0.416666667,0,0,5.5,1,0.875,"0","0","0"
"180",0,3,1,2,7,12,3,2,5,1,2,53,0,0,0,0.5,0,0,16.66666667,2,1,"0","0","0"
"182",0,9,2,1,13,38,12,2,12,8,0.5,197,1,1,0.5,0.377777778,0,0,20.66666667,5,1.6667,"0","0","0"
"184",0,1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"185",0,6,2,0,3,9,9,2,1,6,0.4,40,1,0,0.791666667,0.666666667,1,8,5.5,2,1,"0","0","0"
"186",0,2,1,0,4,2,1,4,0,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"189",1,8,1,0,27,8,28,14,14,8,2,8,0,0,0,0.267857143,0,0,0,1,1,"0","0","0"
"193",0,10,2,0,9,38,15,0,0,8,0.694444444,197,1,0,0.5,0.4,0,0,18.3,7,1.6,"0","0","0"
"199",1,8,2,0,9,61,28,2,7,6,1.142857143,544,1,0,0.611111111,0.375,1,3,66.875,4,1.625,"0","0","0"
"200",0,13,6,0,25,69,78,1,24,12,2,420,0,0,0.945273632,0.174825175,4,7,31.30769231,4,1.2308,"0","0","0"
"204",0,9,1,0,3,11,26,2,1,9,0.85,60,1,0,0,0.361111111,0,0,5.111111111,1,0.8889,"0","0","0"
"207",0,3,2,1,4,5,3,3,1,3,2,18,0,0,0.875,0.555555556,1,1,5,1,0.3333,"0","0","0"
"208",0,3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"211",0,5,1,0,9,20,2,3,6,5,0.625,89,1,1,0,0.533333333,0,0,16.4,2,1.2,"0","0","0"
"212",1,4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,1,1,"0","0","0"
"214",0,9,1,1,5,29,0,3,3,6,0.5625,157,1,0,0,0.416666667,0,0,16.22222222,3,1.4444,"0","0","0"
"217",0,4,1,0,6,38,6,2,4,2,1,242,0,0,0,0.375,0,0,59.25,9,4.5,"0","0","0"
"218",0,2,1,0,34,2,1,33,1,2,2,7,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"222",0,19,1,0,6,64,75,1,6,18,0.805555556,636,1,1,0,0.385964912,0,0,32.15789474,6,2.3684,"0","0","0"
"223",0,6,1,0,6,13,0,3,3,6,0.4,55,1,1,0,0.458333333,0,0,7.833333333,2,1,"0","0","0"
"227",0,30,1,0,37,68,345,30,9,27,0.773399015,513,1,3,0,0.18226601,0,0,15.86666667,5,1.6,"1","0","0"
"234",0,1,5,0,3,2,0,2,1,1,2,5,0,0,1,1,0,0,4,0,0,"0","0","0"
"235",0,7,1,0,3,12,0,3,1,7,0.666666667,77,1,4,0,0.428571429,0,0,9.285714286,1,0.8571,"0","0","0"
"238",0,4,1,0,6,14,0,3,3,4,0.333333333,74,1,0,0,0.5,0,0,17,7,2.25,"0","0","0"
"239",0,3,3,0,7,18,0,1,6,3,0.833333333,87,0.666666667,2,0.875,0.466666667,0,0,27,1,0.6667,"0","0","0"
"259",0,5,2,0,4,21,0,0,4,4,0.166666667,144,1,0,0.666666667,0.533333333,1,1,27.2,5,2.4,"0","0","0"
"263",0,2,3,0,5,7,1,1,4,2,2,18,0,0,0.9375,0.625,0,0,8,1,0.5,"0","0","0"
"265",0,29,3,0,21,97,316,4,0,20,0.853571429,677,0.9,1,0.517241379,0.206896552,2,2,22,8,1.931,"0","0","0"
"267",0,33,2,0,33,45,390,26,7,32,0.9296875,350,0.8125,1,0.0625,0.163194444,0,0,9.121212121,4,1.0303,"1","0","0"
"269",0,3,2,3,6,11,1,3,3,2,0.5,33,1,1,0.857142857,0.666666667,0,0,9.666666667,1,0.6667,"0","0","0"
"271",1,6,1,0,5,22,0,3,3,4,0.6,84,1,2,0,0.444444444,0,0,12.5,2,1,"0","0","0"
"274",0,5,2,3,5,9,0,3,2,5,0.25,34,1,0,0.571428571,0.533333333,1,1,5.6,1,0.6,"0","0","0"
"276",0,4,1,0,2,6,0,1,1,4,0.333333333,35,1,2,0,0.5,0,0,7.25,3,1.25,"0","0","0"
"277",0,6,4,0,6,19,3,0,0,6,0.8,94,0.5,0,0.930555556,0.444444444,1,1,14,1,0.8333,"0","0","0"
"278",0,2,3,0,4,14,0,1,3,2,1,54,0.5,1,0.928571429,0.625,0,0,25,1,0.5,"0","0","0"
"279",0,2,2,0,5,4,1,2,3,1,2,8,0,0,0.666666667,0.75,1,1,3,1,0.5,"0","0","0"
"280",0,7,4,0,2,20,21,1,1,7,2,67,0,0,0.910447761,0.571428571,2,2,8.571428571,2,1,"0","0","0"
"282",0,1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"285",0,5,2,0,17,6,6,15,2,5,0.75,25,1,0,0.818181818,0.4,0,0,3.6,1,0.8,"0","0","0"
"286",0,3,2,0,6,5,3,3,3,1,1,18,0,1,0.8,0.75,1,1,4.666666667,1,0.3333,"0","0","0"
"290",1,77,1,0,50,243,2706,4,49,49,0.947916667,2480,1,4,0,0.087550607,0,0,30.8961039,11,1.9481,"1","1","1"
"294",1,99,1,0,65,293,3615,31,42,73,0.876984127,2894,1,9,0,0.090505768,1,1,28.05050505,21,2.202,"1","1","1"
"295",0,2,1,0,19,2,1,19,0,2,2,2,0,0,0,1,0,0,0,1,1,"0","0","0"
"297",0,10,2,3,5,21,0,4,1,9,0,84,1,1,0.968253968,0.5,0,0,7.3,1,0.2,"0","0","0"
"298",0,13,2,0,11,50,46,0,0,10,0.783333333,267,1,0,0.428571429,0.323076923,0,0,19.15384615,8,1.5385,"0","0","0"
"303",1,29,1,0,39,116,90,1,38,22,0.915584416,1109,0.818181818,5,0,0.149350649,0,0,36.86206897,14,2.069,"1","1","0"
"308",0,4,3,0,2,8,6,2,0,4,1.333333333,21,1,0,1,0.666666667,0,0,4,0,0,"0","0","0"
"310",0,3,1,0,5,3,3,4,1,3,2,3,0,0,0,0.777777778,0,0,0,1,1,"0","0","0"
"311",0,2,2,0,4,4,1,2,2,2,2,10,0,0,0.857142857,0.666666667,0,0,4,1,0.5,"0","0","0"
"315",1,33,1,0,54,277,194,9,48,20,0.75625,2591,1,4,0,0.10955711,0,0,77.36363636,19,4,"1","1","0"
"322",0,13,1,0,19,77,0,4,15,12,0.25,1090,1,1,0,0.253846154,0,0,82.76923077,14,2.8462,"1","0","0"
"323",0,5,1,0,16,65,10,1,16,4,2,598,0,0,0,0.3,0,0,118.6,2,1,"0","0","0"
"329",0,2,1,0,2,8,1,2,0,1,2,49,0,0,0,0.5,0,0,23.5,4,2,"0","0","0"
"332",0,37,4,0,16,108,516,0,0,29,0.916666667,1130,0.928571429,0,0.650485437,0.16953317,2,3,29.16216216,5,1.6486,"1","1","0"
"334",0,21,2,0,30,108,190,1,0,7,0.794444444,766,0.888888889,1,0.366666667,0.292857143,1,3,35.04761905,10,1.9524,"1","0","0"
"335",0,74,1,0,84,163,2213,44,46,70,0.901946647,1119,0.894736842,12,0,0.055222603,0,0,13.86486486,11,1.2297,"1","1","1"
"338",0,2,1,0,12,2,1,11,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"341",0,6,2,0,5,15,15,1,4,6,2,53,0,0,0.615384615,0.541666667,2,2,7.833333333,2,1.3333,"0","0","0"
"348",0,3,1,0,15,3,3,14,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"349",0,8,1,0,18,17,20,17,1,8,0.464285714,141,1,1,0,0.34375,1,1,16.125,6,1.625,"0","0","0"
"352",1,7,1,0,10,44,19,4,7,4,0.916666667,348,0.5,0,0,0.354166667,0,0,48.42857143,1,0.7143,"0","0","0"
