"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"55",1,6,1,0,7,27,5,4,4,3,1.076923077,151,0.307692308,2,0,0.333333333,0,0,22,5,2.1667,"0","0","0"
"58",0,4,2,0,10,10,6,4,8,4,2,37,0,0,0.9375,0.392857143,1,1,8.25,1,0.5,"0","0","0"
"64",1,9,2,0,12,29,34,2,10,7,0.75,199,1,0,0.5625,0.263888889,0,0,21,5,1.4444,"1","1","0"
"65",1,41,1,0,48,41,820,43,41,41,2,41,0,0,0,0.069767442,0,0,0,1,1,"1","1","1"
"72",0,4,1,0,0,12,6,0,0,4,2,50,0,0,0,0.5,0,0,11.5,2,1,"0","0","0"
"75",1,32,1,39,65,56,418,54,14,31,0.913978495,405,0.916666667,7,0,0.175,1,1,11.28125,4,1.3438,"0","1","1"
"76",1,15,2,0,28,83,25,7,23,13,0.735294118,1221,0.941176471,1,0.697674419,0.251851852,1,2,79.26666667,18,2.2,"0","0","0"
"80",0,5,2,0,9,10,10,5,6,5,2,53,0,0,0.909090909,0.4,1,1,9.6,1,0.6,"0","0","0"
"86",0,8,2,0,7,41,2,0,7,6,0.6,425,0.8,0,0.631578947,0.325,1,2,51.5,6,1.875,"0","0","0"
"96",0,12,1,0,4,12,66,4,0,12,2,12,0,0,0,0.583333333,0,0,0,1,1,"0","0","0"
"109",1,4,2,0,4,18,0,1,3,2,0.555555556,128,0.333333333,0,0.571428571,0.45,0,0,30.25,7,2.25,"0","1","0"
"116",0,1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"117",0,2,2,0,11,16,1,6,6,2,2,87,0,0,0.947368421,1,1,1,42.5,1,0.5,"0","0","0"
"122",0,3,1,0,3,11,3,1,2,2,2,41,0,0,0,0.666666667,0,0,12.66666667,2,1,"0","0","0"
"124",1,13,1,6,17,33,48,12,6,12,0.847222222,255,0.833333333,2,0,0.241758242,0,0,18.15384615,7,1.4615,"0","1","0"
"126",0,22,3,0,12,84,177,0,12,20,0.928571429,565,1,0,0.637931034,0.309090909,1,1,24.13636364,5,1.1364,"0","0","0"
"128",0,2,1,0,4,2,1,2,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"132",1,6,2,0,18,48,13,0,18,5,0.8,325,1,1,0.642857143,0.357142857,0,0,52,1,0.8333,"1","1","0"
"133",0,3,1,0,5,3,3,5,0,3,2,3,0,0,0,1,0,0,0,1,1,"0","0","0"
"134",0,5,2,0,8,13,0,4,6,5,0.25,62,1,0,0.909090909,0.433333333,0,0,11.2,1,0.6,"1","0","0"
"136",1,9,1,0,3,29,30,1,2,4,1,465,0.75,0,0,0.236111111,0,0,50.22222222,17,5.1111,"0","0","0"
"139",0,5,2,0,17,38,0,4,15,5,0.416666667,310,1,1,0.909090909,0.466666667,0,0,60.4,1,0.6,"1","1","0"
"140",0,4,2,0,8,12,6,4,6,4,2,43,0,0,0.9375,0.416666667,1,1,9.75,1,0.5,"0","0","0"
"145",0,2,1,0,5,2,1,5,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"148",1,5,2,0,27,35,0,13,15,5,0.25,319,1,1,0.818181818,0.5,1,1,62.6,1,0.8,"1","1","0"
"149",0,9,5,0,33,19,0,28,5,9,0.625,204,1,0,0.777777778,0.355555556,0,0,21.11111111,1,0.4444,"1","0","0"
"150",0,4,2,0,7,24,0,1,6,2,0.333333333,126,1,1,0.571428571,0.541666667,0,0,30.25,2,1,"0","0","0"
"151",0,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"155",1,10,1,0,15,81,9,0,15,5,0.747474747,659,0.727272727,3,0,0.44,0,0,63.8,3,1.2,"0","1","0"
"159",0,2,1,0,4,5,1,1,3,2,2,20,0,0,0,0.5,0,0,9,4,2,"0","0","0"
"166",0,15,1,0,17,28,29,9,10,15,0.69047619,371,0.833333333,0,0,0.177777778,0,0,23.33333333,7,1.8667,"1","0","0"
"170",1,19,1,2,25,22,129,22,4,19,0.916666667,130,1,2,0,0.203007519,0,0,5.315789474,3,1.0526,"0","1","0"
"179",1,5,1,0,10,39,10,1,9,2,0.75,344,0,0,0,0.3,0,0,67.6,4,1.4,"1","1","0"
"182",0,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"188",1,5,2,0,11,18,10,4,9,5,2,130,0,0,0.909090909,0.4,1,1,25,1,0.6,"0","1","0"
"189",0,4,1,0,1,25,6,0,1,2,2,145,0,0,0,0.875,0,0,35.25,2,1,"0","0","0"
"191",0,4,2,0,8,12,6,4,6,4,2,67,0,0,0.9375,0.416666667,1,1,15.75,1,0.5,"0","0","0"
"192",0,5,2,0,9,10,10,5,6,5,2,39,0,0,0.909090909,0.4,1,2,6.8,1,0.6,"0","0","0"
"194",0,3,1,0,4,8,1,3,1,0,0.5,45,1,0,0,0.5,0,0,13.66666667,2,0.6667,"0","0","0"
"197",0,3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.833333333,0,0,0,1,1,"0","0","0"
"204",0,1,1,0,6,2,0,6,0,1,2,6,0,0,0,1,0,0,3,0,0,"0","0","0"
"206",0,2,2,2,6,6,1,2,4,1,2,19,0,0,0.9,0.75,0,0,8.5,2,1,"0","0","0"
"208",0,4,2,0,6,7,6,4,4,4,2,20,0,0,0.9375,0.416666667,0,0,4,1,0.5,"0","0","0"
"209",0,6,2,0,6,9,13,4,4,5,0.8,28,1,0,0.909090909,0.4,0,0,3.5,1,0.5,"0","0","0"
"211",0,7,2,0,16,36,9,4,14,5,0.604166667,271,0.875,3,0.857142857,0.326530612,1,1,36.57142857,1,0.7143,"0","1","0"
"215",0,24,1,0,2,36,0,1,1,21,0.508152174,1008,0.6875,0,0,0.3125,0,0,40.33333333,7,1.5,"1","0","0"
"218",1,9,2,0,9,26,24,1,9,5,0.85,119,1,2,0.529411765,0.296296296,0,0,11.66666667,2,1,"0","1","0"
"219",1,40,1,0,73,40,780,63,16,40,2,40,0,0,0,0.1875,0,0,0,1,1,"1","1","0"
"220",1,6,3,0,7,12,0,1,6,6,0,98,1,2,0.736842105,0.527777778,0,0,15,1,0.8333,"1","0","0"
"221",0,4,1,0,1,16,0,1,0,4,0.444444444,77,1,0,0,0.625,0,0,17.5,2,1.25,"0","0","0"
"224",0,0,1,0,67,0,0,64,4,0,2,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"226",1,5,2,0,9,13,8,4,7,5,0.75,41,1,0,0.909090909,0.4,0,0,7,1,0.6,"0","1","0"
