"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"64",0,12,2,0,5,72,0,1,5,11,0.563636364,525,1,1,0.266666667,0.285714286,1,1,42.33333333,6,2.5833,"0","0","0"
"66",0,22,1,2,21,52,201,15,6,19,0.947619048,411,0.9,1,0,0.2,0,0,17.22727273,6,1.9545,"0","0","0"
"75",0,4,2,0,15,22,6,2,13,1,2,119,0,0,0.85,0.4375,1,1,28.75,1,0.75,"0","0","0"
"82",0,1,3,0,2,2,0,2,0,1,2,5,0,0,1,1,0,0,4,0,0,"0","0","0"
"88",0,2,1,0,4,4,1,0,4,2,2,12,0,0,0,0.75,0,0,5,1,0.5,"0","0","0"
"89",0,14,6,0,7,56,51,2,7,1,0.890688259,557,1,0,0.980938416,0.5,3,5,37.42857143,5,1.4286,"0","0","0"
"96",0,351,1,0,51,443,41713,1,51,88,0.602857143,12535,0.538461538,8,0,0.126305793,0,0,34.67521368,18,2.8091,"0","1","1"
"101",0,1,2,0,18,2,0,16,2,1,2,5,0,0,1,1,0,0,4,0,0,"0","0","0"
"102",0,17,5,23,25,39,102,23,2,14,0.734375,507,1,0,0.976083707,0.470588235,0,0,28.58823529,3,1.2353,"0","0","0"
"104",0,3,1,0,3,8,0,3,0,3,0,24,0,0,0,0.666666667,0,0,6.666666667,1,0.6667,"0","0","0"
"107",0,8,6,0,9,26,16,8,2,5,0.285714286,105,1,0,0.9921875,0.35,1,2,12,2,1,"0","0","0"
"108",0,3,1,0,10,29,3,2,10,3,2,157,0,0,0,0.666666667,0,0,51.33333333,10,3.6667,"0","0","0"
"109",0,7,1,0,8,31,19,3,5,5,0.833333333,159,0,0,0,0.208333333,0,0,21.57142857,5,1.8571,"0","0","0"
"110",0,44,1,0,49,156,632,15,39,32,0.773784355,1802,1,4,0,0.104651163,0,0,39.70454545,30,3.25,"0","0","0"
"114",0,11,6,0,11,70,47,3,10,8,0.911111111,672,1,11,0.985272459,0.272727273,3,5,57.63636364,3,1.3636,"0","0","0"
"115",0,10,1,0,19,38,0,15,6,8,0.222222222,191,1,0,0,0.203703704,0,0,18,3,1.3,"0","0","0"
"121",0,6,1,0,2,13,0,2,0,6,0,75,1,0,0,0.5,0,0,11.33333333,2,1,"0","0","0"
"123",0,31,5,0,79,111,273,62,23,29,0.95,698,0.25,1,0.967948718,0.189516129,2,11,21.38709677,8,2.4516,"0","0","0"
"127",0,12,1,0,10,24,26,5,5,7,0.75,182,0,2,0,0.333333333,0,0,13.5,3,0.8333,"0","0","0"
"131",0,1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"132",0,4,2,0,4,6,0,4,0,3,2,83,0,0,0.842105263,0.5625,1,11,19.75,3,1.25,"0","0","0"
"134",0,2,1,0,9,2,1,9,0,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"136",0,2,1,0,4,9,1,1,3,2,2,57,0,0,0,0.625,0,0,27.5,7,3.5,"0","0","0"
"143",0,3,2,0,9,26,0,1,9,2,0,172,1,1,0.888888889,1,1,2,56,7,3.3333,"0","0","0"
"145",0,8,7,0,12,41,22,2,11,7,0.542857143,212,1,3,0.994206257,0.46875,1,1,24.875,8,1.5,"0","0","0"
"150",0,2,1,0,4,4,1,0,4,2,2,12,0,0,0,0.75,0,0,5,1,0.5,"0","0","0"
"151",0,6,1,0,6,26,15,6,1,6,2,193,0,0,0,0.233333333,0,0,31.16666667,5,2.3333,"0","0","0"
"152",0,5,1,0,2,17,4,1,1,3,0.5,133,1,0,0,0.433333333,0,0,24.8,3,2,"0","0","0"
"157",0,2,2,0,12,10,1,1,11,1,1.125,136,0.625,4,0.944444444,0.625,1,1,63,1,0.5,"0","0","0"
"158",0,2,1,0,27,4,1,26,1,1,1,72,0,0,0,1,0,0,24,0,0,"0","0","0"
"161",0,262,4,3,81,540,19801,54,49,218,0.935644157,9460,0.625,12,0.713024283,0.06248158,3,18,34.86259542,29,3.458,"0","1","1"
"163",0,4,1,5,9,5,6,5,4,4,2,10,0,0,0,0.4375,0,0,1.5,1,0.75,"0","0","0"
"173",0,4,1,0,3,12,0,2,1,4,0,46,1,0,0,0.5,0,0,10.25,1,0.75,"0","0","0"
"176",0,32,1,0,6,53,0,2,6,17,0.853046595,2884,0.925925926,13,0,0.204301075,0,0,88.28125,40,6.5,"0","0","0"
"177",0,11,2,0,7,38,23,1,7,7,0.8,541,1,4,0.62962963,0.285714286,1,3,46.09090909,12,3.4545,"0","0","0"
"180",0,27,1,0,20,65,65,9,13,0,0.683760684,1240,1,4,0,0.25462963,0,0,44.59259259,24,3.7407,"0","0","0"
"182",0,4,2,0,9,9,4,3,6,2,1,47,0,0,0.894736842,0.6,1,1,10,2,0.75,"0","0","0"
"187",0,2,2,0,4,4,1,2,2,2,2,8,0,0,0.75,0.75,0,0,3,1,0.5,"0","0","0"
"196",0,5,6,0,7,34,2,3,6,1,0.8,203,1,2,0.99389313,0.35,0,0,38.6,1,0.8,"0","0","0"
"198",0,7,1,0,40,7,21,40,0,7,2,7,0,0,0,0.523809524,0,0,0,1,1,"0","0","0"
"199",0,118,1,0,1,180,6075,0,1,27,0.921125975,5209,0.717391304,1,0,0.138067061,0,0,42.36440678,9,1.5678,"0","0","0"
"203",0,9,1,0,7,21,0,5,3,7,0.5,87,1,0,0,0.240740741,0,0,8.444444444,3,1,"0","0","0"
"208",0,12,1,0,12,66,0,1,12,8,0.519480519,675,1,3,0,0.5,0,0,54.66666667,15,4.9167,"0","0","0"
"220",0,14,1,0,17,72,21,9,8,6,0.756410256,1597,1,4,0,0.18452381,0,0,112.2142857,43,8.2857,"0","0","0"
"221",0,5,1,8,13,6,10,13,0,5,2,54,0,0,0,0.65,0,0,9.8,3,1.2,"0","0","0"
"225",0,3,1,0,9,6,3,7,2,3,2,44,0,0,0,0.555555556,0,0,13.66666667,5,2,"0","0","0"
"228",0,8,8,0,12,20,28,3,9,5,2,146,0,0,0.994074074,0.46875,1,3,17.25,1,0.5,"0","0","0"
"230",0,5,2,0,10,13,4,8,3,4,0.9,55,0.2,0,0.5,0.5,1,1,9,1,0.6,"0","0","0"
"240",0,4,2,0,11,20,6,1,10,1,1,290,0,0,0.85,0.45,1,1,71.25,4,2.25,"0","0","0"
"242",0,2,2,0,16,25,1,1,15,1,1,179,0,0,0.944444444,0.625,1,1,88,4,2,"0","0","0"
"243",0,14,1,1,32,47,55,16,19,9,0.638461538,535,0.7,3,0,0.191964286,0,0,36.5,3,0.9286,"0","0","0"
"245",0,3,2,0,11,17,3,1,10,2,2,149,0,0,0.894736842,0.5,1,1,48.66666667,1,0.6667,"0","0","0"
"250",0,4,2,1,6,21,4,1,5,2,0.666666667,129,1,0,0.85,0.625,1,1,30.75,7,2.25,"0","0","0"
"253",0,8,1,0,1,47,10,0,1,3,0.357142857,473,1,0,0,0.354166667,0,0,57.875,20,6.125,"0","0","0"
"256",0,2,2,0,10,10,1,1,9,2,2,41,0,0,0.944444444,0.625,1,1,19.5,1,0.5,"0","0","0"
"259",0,2,2,0,1,5,1,0,1,2,2,14,0,0,0.923076923,0.75,0,0,6,1,0.5,"0","0","0"
"260",0,5,1,2,5,11,10,2,3,4,2,175,0,0,0,0.666666667,0,0,34,5,2.2,"0","0","0"
"265",0,21,1,1,29,50,156,22,8,18,0.85,601,1,1,0,0.244897959,0,0,27.23809524,11,2.4286,"0","0","0"
"269",1,119,1,1,90,279,5913,72,28,97,0.886101695,4045,0.84,8,0,0.103641457,0,0,32.78151261,17,2.9076,"0","0","0"
"271",0,1,1,0,2,2,0,2,1,0,2,8,0,3,0,1,0,0,3,0,0,"0","0","0"
"276",0,3,4,0,10,9,1,5,5,3,0,44,0,0,0.95,0.6,1,1,13.33333333,2,0.6667,"0","0","0"
"279",0,2,2,0,10,12,1,1,9,1,1,67,0,0,0.944444444,0.625,1,1,31,1,0.5,"0","0","0"
"282",0,1,1,0,2,1,0,2,0,0,2,196,0,0,0,0,0,0,156,0,0,"0","0","0"
"285",0,7,1,8,11,13,19,9,2,7,0.833333333,102,1,0,0,0.371428571,0,0,13.42857143,3,2,"0","0","0"
"287",0,17,1,0,5,46,130,4,2,15,0.699596774,819,0,3,0,0.522875817,0,0,45.35294118,21,2.1765,"0","0","0"
"288",0,2,1,0,4,2,1,3,2,2,2,2,0,0,0,1,0,0,0,1,1,"0","0","0"
"290",0,14,6,0,18,90,59,7,18,1,0.807692308,470,1,1,0.980938416,0.271428571,4,12,32.14285714,5,1.6429,"0","0","0"
"294",0,17,5,0,23,77,76,11,18,3,0.785714286,498,1,5,0.978229318,0.196428571,2,5,27.88235294,11,2,"0","0","0"
"295",0,68,5,0,75,291,1812,39,59,42,0.937619594,2351,0.666666667,7,0.909470752,0.113662457,4,15,33,21,2.5441,"1","1","0"
"297",0,5,1,0,7,20,0,1,6,4,0.6,132,1,3,0,0.4,0,0,24.4,11,2.8,"0","0","0"
"304",0,7,1,0,10,23,19,6,4,7,1.083333333,216,1,0,0,0.285714286,0,0,29.28571429,85,25.1429,"0","0","0"
"306",0,16,7,0,8,91,82,3,8,3,0.777777778,780,1,1,0.977645306,0.21875,2,2,47.1875,13,2.125,"0","0","0"
"319",0,3,2,0,1,12,3,1,0,3,2,88,0,0,0.818181818,0.583333333,0,0,28.33333333,1,0.6667,"0","0","0"
"320",0,7,2,0,4,21,15,1,4,4,0.833333333,141,0.5,0,0.886363636,0.458333333,1,2,18.85714286,5,1.5714,"0","0","0"
"321",0,32,1,0,13,65,408,12,2,31,0.924098672,559,1,3,0,0.120967742,0,0,15.9375,11,1.7188,"0","0","0"
"323",0,6,3,0,2,19,15,2,0,4,1.12,184,0,0,0.85,0.5,1,1,28.83333333,14,2.8333,"0","0","0"
"328",0,9,2,0,17,71,24,1,17,4,0.7,667,1,1,0.68,0.462962963,2,8,72.55555556,11,3.5556,"0","0","0"
"330",0,15,1,0,19,74,47,5,16,7,0.595238095,561,1,1,0,0.130952381,0,0,36.2,8,2.2,"0","0","0"
"331",0,49,1,0,13,128,1014,3,11,29,0.851190476,1254,0.5,4,0,0.10058309,0,0,24.30612245,8,2.0204,"0","0","0"
"334",0,7,1,0,1,10,0,1,0,7,0.333333333,100,1,0,0,0.5,0,0,12.71428571,2,0.8571,"0","0","0"
"341",0,20,1,0,15,45,62,14,5,9,0.845864662,603,0.785714286,5,0,0.172222222,0,0,28.45,14,3,"0","0","0"
"342",0,3,2,0,12,16,1,3,10,2,1,123,0,1,0.894736842,0.5,1,2,38,1,0.6667,"0","0","0"
"349",0,18,5,0,19,78,119,5,18,6,0.857142857,424,1,2,0.974626866,0.173611111,2,8,22.16666667,9,2,"0","0","0"
"352",0,8,1,2,8,14,8,2,6,7,0.428571429,175,1,0,0,0.4375,0,0,20.75,11,3.125,"0","0","0"
"354",0,15,1,0,20,63,105,10,18,12,2,397,0,0,0,0.259259259,0,0,25.46666667,6,2.2,"0","0","0"
"358",0,20,1,0,47,45,190,47,0,19,2,841,0,0,0,0.1875,0,0,41.05,23,5.75,"0","0","0"
"364",0,7,3,0,4,19,5,3,1,6,0.611111111,100,1,0,0.285714286,0.375,0,0,12.85714286,2,0.8571,"0","0","0"
"367",0,9,1,1,3,10,36,1,2,9,2,20,0,0,0,0.814814815,0,0,1.222222222,1,0.8889,"0","0","0"
"368",0,148,1,0,346,510,10050,291,101,109,0.938994953,5420,1,13,0,0.045548654,0,0,35.41216216,61,3.2905,"1","1","1"
"369",1,2,1,0,4,4,1,0,4,2,2,12,0,0,0,0.75,0,0,5,1,0.5,"0","0","0"
"373",0,16,6,0,15,101,80,4,15,1,0.791666667,577,1,1,0.978070175,0.3125,4,13,34.5625,5,1.625,"0","0","0"
"376",0,4,1,1,4,12,6,3,1,4,0.666666667,37,1,1,0,0.5,0,0,8,1,0.75,"0","0","0"
"379",0,33,1,0,21,108,70,13,13,15,0.659375,1485,0.6,7,0,0.232142857,0,0,43.6969697,19,4.0909,"0","0","0"
"380",0,5,2,1,10,13,4,8,3,4,0.928571429,61,0.142857143,0,0.5,0.5,1,1,9.8,1,0.6,"0","0","0"
"382",0,3,6,0,2,9,1,2,0,2,0,37,1,0,0.998738966,0.583333333,3,3,11,5,1.6667,"0","0","0"
"387",0,2,1,0,15,2,1,14,1,2,2,2,0,0,0,0.7,0,0,0,1,1,"0","0","0"
"392",0,19,7,0,21,110,115,8,19,9,0.746031746,685,1,3,0.977645306,0.289473684,2,3,34.68421053,13,2.3684,"0","0","0"
"393",0,8,1,2,8,32,0,6,3,8,0.571428571,224,0.25,0,0,0.35,0,0,26.5,3,1.875,"0","0","0"
"396",0,2,2,0,3,5,1,1,2,2,2,74,0,0,0.888888889,0.625,0,0,36,9,4.5,"0","0","0"
"397",0,4,2,0,13,14,6,4,9,2,2,113,0,0,0.85,0.6,1,1,27.25,1,0.75,"0","0","0"
"398",0,1,1,0,6,1,0,6,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"403",0,7,2,0,3,18,0,1,2,4,0.619047619,366,1,0,0.142857143,0.428571429,0,0,50.28571429,11,4.2857,"0","0","0"
"405",0,3,6,0,2,17,1,0,2,3,0.5,325,1,0,0.997019374,1,2,4,104,6,2.3333,"0","0","0"
"409",0,5,2,0,7,12,0,5,3,4,0.8,60,0.4,0,0.5,0.4375,1,1,10,1,0.6,"0","0","0"
"414",0,13,1,0,57,28,0,56,2,13,0,161,1,0,0,0.487179487,0,0,11.30769231,2,1.0769,"0","0","0"
"417",0,18,2,0,9,38,153,1,8,18,2,96,0,0,0.5,0.268518519,1,5,4.333333333,1,0.9444,"0","0","0"
"418",0,16,1,0,1,33,4,1,0,2,0.516666667,258,1,0,0,0.375,0,0,14.875,5,1.5,"0","0","0"
"419",0,19,1,0,5,48,151,3,2,16,0.604166667,1417,0.875,0,0,0.231578947,0,0,72.73684211,33,4.3684,"0","0","0"
"421",0,5,6,0,8,35,0,5,5,3,0.65,183,0.4,0,0.996240602,0.35,2,11,34.6,4,1.4,"0","0","0"
"425",0,3,1,0,2,16,1,0,2,2,0.833333333,84,0.666666667,0,0,0.5,0,0,26,1,0.6667,"0","0","0"
"426",0,18,6,3,26,60,69,23,6,15,0.705882353,252,1,1,0.982630273,0.277777778,3,7,12.83333333,15,1.9444,"0","0","0"
"428",0,2,1,0,5,2,1,5,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"429",0,2,8,0,4,3,1,2,2,2,2,13,0,0,1,0.75,0,0,5.5,0,0,"0","0","0"
"433",0,19,1,38,62,30,147,57,8,18,0.904761905,242,0.428571429,5,0,0.268518519,0,0,11.36842105,6,1.5789,"0","0","0"
"447",0,9,2,0,16,23,16,7,9,8,0.805555556,189,1,3,0.416666667,0.270833333,1,1,19,6,1.4444,"0","0","0"
"451",0,8,1,0,1,14,8,1,0,6,0.071428571,178,1,1,0,0.425,0,0,20.75,6,1.875,"0","0","0"
"452",0,8,2,0,8,19,10,2,6,4,0.766233766,378,0.909090909,2,0.533333333,0.284090909,1,3,44.875,11,3.75,"0","0","0"
"458",0,24,5,0,28,106,80,15,21,14,0.782608696,530,1,3,0.965976331,0.147727273,1,4,20.79166667,9,1.625,"0","0","0"
"460",0,4,6,0,6,29,0,1,6,1,0.636363636,315,1,0,0.995535714,0.5,3,5,75,6,2,"0","0","0"
"463",0,21,2,2,13,86,134,5,10,9,0.875,891,1,3,0.459459459,0.226190476,1,2,40.95238095,38,3.4286,"0","0","0"
"464",0,1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"465",0,7,1,0,3,7,21,3,1,7,2,7,0,0,0,0.857142857,0,0,0,1,1,"0","0","0"
"467",0,8,1,0,8,8,28,8,1,8,2,8,0,0,0,0.875,0,0,0,1,1,"0","0","0"
"475",0,8,5,0,6,25,6,5,4,3,0.80952381,173,0.666666667,2,0.989393939,0.275,3,7,20.25,7,2.25,"0","0","0"
"477",0,2,2,0,4,6,0,0,4,2,0,44,1,0,0.857142857,0.666666667,0,0,19.5,1,0.5,"0","0","0"
"482",0,23,1,0,25,98,95,8,22,13,0.842424242,734,0.8,3,0,0.217391304,0,0,30.26086957,9,2.2174,"0","0","0"
"484",0,1,1,0,7,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"485",0,2,1,0,6,2,1,3,3,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"488",0,11,2,1,12,54,25,1,11,5,0.3,444,1,1,0.666666667,0.227272727,2,10,39.27272727,23,5.1818,"0","0","0"
"489",0,3,2,0,5,9,0,3,2,3,0,36,1,0,0.6,0.666666667,1,1,10.66666667,1,0.6667,"0","0","0"
"492",0,10,1,0,18,33,7,9,11,5,0.685185185,207,0,2,0,0.257142857,0,0,19.1,5,1.9,"0","0","0"
